candidate_name,cycle,office,state
"LAUSER, LUCY ESTHER JOAN",2022,H,WA
"DOSS, NATHANIEL MR. III",2022,H,TN
"HOULAHAN, CHRISSY",2022,H,PA
"WILLIAMS, MARSHA VIRIGINIA",2022,H,IL
"SPANBERGER, ABIGAIL",2022,H,VA
"THOMPSON, CHARLES",2022,H,TX
"KNIGHT, WILL",2022,H,OH
"AXNE, CINDY",2022,H,IA
"DAZA-FERNANDEZ, ANTONIO MIGUEL",2022,H,GA
"TOULME, ALIX CHRISTOPHER MR. JR",2022,H,FL
"ESPAILLAT, ADRIANO",2022,H,NY
"SMITH, AUSTIN C",2022,H,NY
"MOULTON, SETH",2022,H,MA
"GEARING, CHARLES M.",2022,H,TX
"YOUNG, ALEEM MR.",2022,H,IN
"NADLER, JERROLD L.",2022,H,NY
"STAHL, JUDITH",2022,H,AZ
"SHEARER, ALAINA",2022,H,OH
"SUTTON, MICHAEL PHILLIP MR",2022,H,ME
"DOWELL, JEREMY J",2022,H,CO
"NEAL, RICHARD E MR.",2022,H,MA
"CROW, JASON",2022,H,CO
"GOLDEN, JARED",2022,H,ME
"MEADE, MATTHEW ALLEN",2022,H,OH
"FLOWERS, MARCUS",2022,H,GA
"BEATTY, JOYCE",2022,H,OH
"GONZALEZ, VICENTE",2022,H,TX
"DINGELL, DEBBIE",2022,H,MI
"ANDERSON, REGINALD TERELL",2022,H,AL
"LASSITER, SHAWN",2022,H,TX
"CONNER, LATEEFAH B.",2022,H,GA
"SHERRILL, MIKIE",2022,H,NJ
"HENNRICH, BRENT WILLIAM",2022,H,WA
"CONNER, LATEEFAH B.",2022,H,GA
"LAMB, CONOR",2022,H,PA
"SPANBERGER, ABIGAIL",2022,H,VA
"MURPHY, STEPHANIE",2022,H,FL
"KAHELE, KAIALI'I",2022,H,HI
"AGAN, JEFFREY JOHN MR. JR",2022,H,OH
"BEACH-FERRARA, JASMINE",2022,H,NC
"HART, RITA",2022,H,IA
"MOSES, PATRICK",2022,H,TX
"JAYAPAL, PRAMILA",2022,H,WA
"MALONEY, CAROLYN B.",2022,H,NY
"PLASKETT, STACEY",2022,H,VI
"RICHARDSON, MONTEL SHAMAR",2022,H,NC
"DALSIMER, ALLY",2022,H,VA
